variant,topic,top_keywords,model_type,n_docs
keep_short,14,"pension, rbi, pension scheme, employees, scheme, cpf, option, rbi act, rbi pension, salary",NMF_FALLBACK,4
keep_short,15,"2008, rules 2008, 2008 gsr, 2010, competition, 2009, 2011, electronics, chairman, karunakaran",NMF_FALLBACK,14
keep_short,16,"nuclear, liability, clnd, act, supplier, nuclear damage, atomic energy, operator, atomic, clnd act",NMF_FALLBACK,5
keep_short,17,"2023, 2022, 2021, act, regulations, chairperson, xxx, framing, observations recommendations, xxx xxx",NMF_FALLBACK,12
keep_short,18,"1969, 1968, 1971, 1970, service, 1972, rules 1969, railway, 1967, recruitment",NMF_FALLBACK,29
keep_short,19,"waste, 2017, 2016, act, real estate, aiims, waste management, information technology, 2018, auction",NMF_FALLBACK,19
keep_short_remove_years,0,"department, recruitment, act, service, order, central, recruitment rules, early, amend, effect",NMF_FALLBACK,57
keep_short_remove_years,1,"recruitment, recruitment rules, tasking, multi tasking, tasking staff, multi, posts, group, post, xx",NMF_FALLBACK,13
keep_short_remove_years,2,"act, bye, board, central, cantonment, section, bye laws, order, state, orders",NMF_FALLBACK,32
keep_short_remove_years,3,"contained thirteenth, science technology, thirteenth, science, department science, hissar, hissar group, technology, technical rules, taken recommendations",NMF_FALLBACK,4
keep_short_remove_years,4,"port, surface, surface transport, transport, gsr, regulations, port trust, trust, regulation, employees",NMF_FALLBACK,22
keep_short_remove_years,5,"tobacco, tobacco products, cigarettes, bidi, health, warnings, products, smoking, beedi, warning",NMF_FALLBACK,4
keep_short_remove_years,6,"tbe, tbat, tile, tea, act, law, department, tho, sbri, representative",NMF_FALLBACK,16
keep_short_remove_years,7,"medical, ayush, ayurveda, council, homeopathy, medicine, colleges, students, medical council, doctors",NMF_FALLBACK,8
keep_short_remove_years,8,"delay, gsr, notification, publication, amendment rules, xx, department, laid, final, table",NMF_FALLBACK,24
keep_short_remove_years,9,"recruitment, recruitment rules, probation, direct recruits, promotees, recruits, gsr, group, contract, direct",NMF_FALLBACK,23
keep_short_remove_years,10,"pension, rbi, pension scheme, employees, scheme, cpf, option, rbi act, rbi pension, salary",NMF_FALLBACK,4
keep_short_remove_years,11,"corporation, food, air india, regulation, regulations, air, civil, employee, food civil, managing director",NMF_FALLBACK,13
keep_short_remove_years,12,"customs, commissioner customs, commissioner, manifest, transhipment, carrier, regulations, xx, cargo, authorised carrier",NMF_FALLBACK,5
keep_short_remove_years,13,"act, section, framing, framed, regulations, national, framing rules, real estate, aiims, rules regulations",NMF_FALLBACK,30
keep_short_remove_years,14,"ifs, service, promotion, cadre, grade, foreign service, officers, indian foreign, foreign, external",NMF_FALLBACK,14
keep_short_remove_years,15,"irdai, insurance, ombudsman, regulations, insurance ombudsman, insurance regulatory, regulatory development, solvency, actuary, appointed actuary",NMF_FALLBACK,6
keep_short_remove_years,16,"xx, xx xx, observations recommendations, chairperson, seventeenth, recommendations contained, nil, 2021, observations, beas management",NMF_FALLBACK,20
keep_short_remove_years,17,"waste, waste management, recycling, management, environment, technology, information technology, pollution control, recyclers, pollution",NMF_FALLBACK,5
keep_short_remove_years,18,"natural gas, gas, petroleum natural, petroleum, tariff, natural, 2012, pipeline, gas regulatory, gas pipeline",NMF_FALLBACK,15
keep_short_remove_years,19,"consumer, public distribution, food public, food, consumer affairs, distribution, vegetable, affairs food, packages, consumer protection",NMF_FALLBACK,8
