variant,topic,topic_family,matched_seed_terms,top_keywords
keep_short,12,delay_laying_framing,regulations,"2016, irdai, regulations, insurance, regulations 2016, solvency, actuary, appointed actuary, regulatory development, insurance regulatory"
keep_short,13,delay_laying_framing,regulations,"customs, commissioner customs, commissioner, 2018, manifest, transhipment, regulations 2018, regulations, carrier, 2021"
keep_short,14,delay_laying_framing,regulations,"pension, rbi, pension scheme, employees, scheme, cpf, option, rbi act, rbi pension, salary"
keep_short,15,delay_laying_framing,rules,"2008, rules 2008, 2008 gsr, 2010, competition, 2009, 2011, electronics, chairman, karunakaran"
keep_short,16,delay_laying_framing,rules,"nuclear, liability, clnd, act, supplier, nuclear damage, atomic energy, operator, atomic, clnd act"
keep_short,17,delay_laying_framing,"framing, regulations, rules","2023, 2022, 2021, act, regulations, chairperson, xxx, framing, observations recommendations, xxx xxx"
keep_short,18,delay_laying_framing,rules,"1969, 1968, 1971, 1970, service, 1972, rules 1969, railway, 1967, recruitment"
keep_short_remove_years,0,delay_laying_framing,rules,"department, recruitment, act, service, order, central, recruitment rules, early, amend, effect"
keep_short_remove_years,1,delay_laying_framing,rules,"recruitment, recruitment rules, tasking, multi tasking, tasking staff, multi, posts, group, post, xx"
keep_short_remove_years,2,delay_laying_framing,laid,"act, bye, board, central, cantonment, section, bye laws, order, state, orders"
keep_short_remove_years,3,delay_laying_framing,rules,"contained thirteenth, science technology, thirteenth, science, department science, hissar, hissar group, technology, technical rules, taken recommendations"
keep_short_remove_years,4,delay_laying_framing,regulations,"port, surface, surface transport, transport, gsr, regulations, port trust, trust, regulation, employees"
keep_short_remove_years,6,delay_laying_framing,delay,"tbe, tbat, tile, tea, act, law, department, tho, sbri, representative"
keep_short_remove_years,7,delay_laying_framing,regulations,"medical, ayush, ayurveda, council, homeopathy, medicine, colleges, students, medical council, doctors"
keep_short_remove_years,8,delay_laying_framing,"delay, laid, laying, rules","delay, gsr, notification, publication, amendment rules, xx, department, laid, final, table"
keep_short_remove_years,9,delay_laying_framing,rules,"recruitment, recruitment rules, probation, direct recruits, promotees, recruits, gsr, group, contract, direct"
keep_short_remove_years,10,delay_laying_framing,regulations,"pension, rbi, pension scheme, employees, scheme, cpf, option, rbi act, rbi pension, salary"
keep_short_remove_years,11,delay_laying_framing,regulations,"corporation, food, air india, regulation, regulations, air, civil, employee, food civil, managing director"
keep_short_remove_years,12,delay_laying_framing,regulations,"customs, commissioner customs, commissioner, manifest, transhipment, carrier, regulations, xx, cargo, authorised carrier"
keep_short_remove_years,13,delay_laying_framing,"delay, framed, framing, laid, laying, regulations, rules","act, section, framing, framed, regulations, national, framing rules, real estate, aiims, rules regulations"
keep_short_remove_years,14,delay_laying_framing,rules,"ifs, service, promotion, cadre, grade, foreign service, officers, indian foreign, foreign, external"
keep_short_remove_years,15,delay_laying_framing,regulations,"irdai, insurance, ombudsman, regulations, insurance ombudsman, insurance regulatory, regulatory development, solvency, actuary, appointed actuary"
keep_short_remove_years,18,delay_laying_framing,rules,"natural gas, gas, petroleum natural, petroleum, tariff, natural, 2012, pipeline, gas regulatory, gas pipeline"
baseline_remove_short,1,drugs_cosmetics,"cosmetic, cosmetics, drugs, health","2008, rules 2008, 2010, 2009, 2007, 2005, 2006, competition, delay, chairman"
baseline_remove_short,7,drugs_cosmetics,health,"tobacco, tobacco products, cigarettes, bidi, health, warnings, products, smoking, warning, beedi"
documented_clean_final,5,drugs_cosmetics,health,"tobacco, tobacco products, cigarettes, bidi, health, warnings, products, smoking, warning, beedi"
documented_clean_final,16,drugs_cosmetics,drugs,"gsr, delay, final, chairman, notification, publication, rules gsr, objections, months, objections suggestions"
keep_short,1,drugs_cosmetics,"cosmetic, cosmetics, drugs","2005, 2003, 2004, 2006, 2002, 2007, notification, delay, laid, gsr"
keep_short,11,drugs_cosmetics,health,"tobacco, tobacco products, cigarettes, bidi, warnings, health, products, smoking, beedi, warning"
keep_short_remove_years,5,drugs_cosmetics,health,"tobacco, tobacco products, cigarettes, bidi, health, warnings, products, smoking, beedi, warning"
keep_short_remove_years,8,drugs_cosmetics,"cosmetic, cosmetics, drugs","delay, gsr, notification, publication, amendment rules, xx, department, laid, final, table"
baseline_remove_short,0,exports_orders,order,"1976, 1975, 1977, 1974, department, 1973, order, rules 1976, retrospective, rules 1975"
baseline_remove_short,5,exports_orders,order,"1957, 1958, section, bye, 1954, central, board, 1959, 1955, 1956"
baseline_remove_short,7,exports_orders,control,"tobacco, tobacco products, cigarettes, bidi, health, warnings, products, smoking, warning, beedi"
baseline_remove_short,11,exports_orders,order,"1969, 1968, 1971, 1970, service, rules 1969, 1972, railway, 1967, recruitment"
documented_clean_final,0,exports_orders,order,"act, recruitment, service, order, recruitment rules, early, date, amend, effect, desire"
documented_clean_final,5,exports_orders,control,"tobacco, tobacco products, cigarettes, bidi, health, warnings, products, smoking, warning, beedi"
documented_clean_final,9,exports_orders,"control, order","act, bye, board, cantonment, bye laws, order, laws, orders, state, laid"
documented_clean_final,13,exports_orders,order,"port, surface, surface transport, transport, gsr, port trust, trust, regulation, cochin port, employees"
documented_clean_final,17,exports_orders,control,"waste, waste management, recycling, management, environment, technology, pollution control, information technology, recyclers, pollution"
keep_short,0,exports_orders,order,"1977, 1976, 1975, department, 1978, 1974, act, recruitment, service, order"
keep_short,4,exports_orders,order,"act, 1957, 1958, section, bye, central, state, 1954, 1959, 1953"
keep_short,11,exports_orders,control,"tobacco, tobacco products, cigarettes, bidi, warnings, health, products, smoking, beedi, warning"
keep_short,17,exports_orders,order,"2023, 2022, 2021, act, regulations, chairperson, xxx, framing, observations recommendations, xxx xxx"
keep_short,18,exports_orders,order,"1969, 1968, 1971, 1970, service, 1972, rules 1969, railway, 1967, recruitment"
keep_short_remove_years,0,exports_orders,order,"department, recruitment, act, service, order, central, recruitment rules, early, amend, effect"
keep_short_remove_years,2,exports_orders,"control, order","act, bye, board, central, cantonment, section, bye laws, order, state, orders"
keep_short_remove_years,4,exports_orders,order,"port, surface, surface transport, transport, gsr, regulations, port trust, trust, regulation, employees"
keep_short_remove_years,5,exports_orders,control,"tobacco, tobacco products, cigarettes, bidi, health, warnings, products, smoking, beedi, warning"
keep_short_remove_years,17,exports_orders,control,"waste, waste management, recycling, management, environment, technology, information technology, pollution control, recyclers, pollution"
baseline_remove_short,0,government_service_recruitment,service,"1976, 1975, 1977, 1974, department, 1973, order, rules 1976, retrospective, rules 1975"
baseline_remove_short,3,government_service_recruitment,recruitment,"1992, 1991, 1993, surface, port, surface transport, 1994, rules 1992, transport, regulations"
baseline_remove_short,4,government_service_recruitment,"posts, probation, recruitment","2014, recruitment, recruitment rules, 2013, group, tasking, multi tasking, 2015, tasking staff, posts"
baseline_remove_short,6,government_service_recruitment,recruitment,"2010, 2012, 2011, 2009, 2013, department, rules 2010, delay, rules 2009, karunakaran"
baseline_remove_short,11,government_service_recruitment,"officers, posts, recruitment, service","1969, 1968, 1971, 1970, service, rules 1969, 1972, railway, 1967, recruitment"
baseline_remove_short,12,government_service_recruitment,"posts, recruitment, service","1978, 1980, 1979, department, 1983, 1981, 1982, recruitment, rules 1978, service"
baseline_remove_short,14,government_service_recruitment,employees,"pension, pension scheme, employees, scheme, option, salary, pension regulations, average, employees pension, bank"
baseline_remove_short,15,government_service_recruitment,posts,"information technology, technology, information, 2013, communications information, money laundering, laundering, cyber, prevention money, technology department"
baseline_remove_short,16,government_service_recruitment,"probation, recruitment","2002, 1997, 1996, 2003, 2000, recruitment, 2001, 1998, 1995, 1999"
baseline_remove_short,19,government_service_recruitment,service,"ombudsman, insurance ombudsman, insurance, ombudsman rules, rules 2017, insurers, 2017, complaints, ecoi, department financial"
documented_clean_final,0,government_service_recruitment,"recruitment, service","act, recruitment, service, order, recruitment rules, early, date, amend, effect, desire"
documented_clean_final,1,government_service_recruitment,"posts, probation, recruitment","recruitment, recruitment rules, tasking, multi tasking, tasking staff, posts, group, multi, post, xx"
documented_clean_final,4,government_service_recruitment,"officers, posts, promotion, recruitment, service","ifs, service, promotion, cadre, grade, officers, foreign service, indian foreign, foreign, external"
documented_clean_final,10,government_service_recruitment,service,"irdai, insurance, solvency, solvency margin, regulatory development, insurance regulatory, actuary, appointed actuary, liabilities, assets"
documented_clean_final,11,government_service_recruitment,employees,"pension, rbi, pension scheme, employees, scheme, cpf, option, rbi act, rbi pension, salary"
documented_clean_final,12,government_service_recruitment,"employees, probation, recruitment","recruitment, recruitment rules, probation, gsr, direct recruits, promotees, recruits, contract, group, engineers"
documented_clean_final,13,government_service_recruitment,"employees, recruitment","port, surface, surface transport, transport, gsr, port trust, trust, regulation, cochin port, employees"
documented_clean_final,15,government_service_recruitment,service,"ombudsman, insurance ombudsman, insurance, ombudsman rules, insurers, ecoi, complaints, xx, xx xx, financial services"
documented_clean_final,18,government_service_recruitment,recruitment,"appellant, appellate tribunal, defect, tribunal, appellate, appeal, appellant rectify, recruitment placement, registrar, seafarers"
keep_short,0,government_service_recruitment,"recruitment, service","1977, 1976, 1975, department, 1978, 1974, act, recruitment, service, order"
keep_short,3,government_service_recruitment,recruitment,"1992, 1991, 1993, surface, port, gsr, surface transport, 1992 gsr, 1994, tbe"
keep_short,5,government_service_recruitment,"posts, probation, recruitment","2014, 2013, recruitment, recruitment rules, 2015, tasking, multi tasking, rules 2013, tasking staff, group"
keep_short,8,government_service_recruitment,"probation, recruitment","1997, recruitment, 1996, 2000, 1995, 1998, 2002, recruitment rules, 1999, probation"
keep_short,14,government_service_recruitment,employees,"pension, rbi, pension scheme, employees, scheme, cpf, option, rbi act, rbi pension, salary"
keep_short,15,government_service_recruitment,service,"2008, rules 2008, 2008 gsr, 2010, competition, 2009, 2011, electronics, chairman, karunakaran"
keep_short,18,government_service_recruitment,"officers, posts, recruitment, service","1969, 1968, 1971, 1970, service, 1972, rules 1969, railway, 1967, recruitment"
keep_short_remove_years,0,government_service_recruitment,"recruitment, service","department, recruitment, act, service, order, central, recruitment rules, early, amend, effect"
keep_short_remove_years,1,government_service_recruitment,"posts, probation, recruitment","recruitment, recruitment rules, tasking, multi tasking, tasking staff, multi, posts, group, post, xx"
keep_short_remove_years,4,government_service_recruitment,"employees, recruitment, service","port, surface, surface transport, transport, gsr, regulations, port trust, trust, regulation, employees"
keep_short_remove_years,9,government_service_recruitment,"posts, probation, recruitment","recruitment, recruitment rules, probation, direct recruits, promotees, recruits, gsr, group, contract, direct"
keep_short_remove_years,10,government_service_recruitment,employees,"pension, rbi, pension scheme, employees, scheme, cpf, option, rbi act, rbi pension, salary"
keep_short_remove_years,11,government_service_recruitment,employees,"corporation, food, air india, regulation, regulations, air, civil, employee, food civil, managing director"
keep_short_remove_years,14,government_service_recruitment,"officers, posts, promotion, recruitment, service","ifs, service, promotion, cadre, grade, foreign service, officers, indian foreign, foreign, external"
baseline_remove_short,13,insurance_corporation,"authority, insurance","2016, irdai, regulations, regulations 2016, insurance, solvency, actuary, appointed actuary, solvency margin, regulatory development"
baseline_remove_short,19,insurance_corporation,insurance,"ombudsman, insurance ombudsman, insurance, ombudsman rules, rules 2017, insurers, 2017, complaints, ecoi, department financial"
documented_clean_final,6,insurance_corporation,corporation,"tbe, tbat, tile, act, tea, tho, corporation, law, matter, food"
documented_clean_final,10,insurance_corporation,"authority, insurance","irdai, insurance, solvency, solvency margin, regulatory development, insurance regulatory, actuary, appointed actuary, liabilities, assets"
documented_clean_final,15,insurance_corporation,insurance,"ombudsman, insurance ombudsman, insurance, ombudsman rules, insurers, ecoi, complaints, xx, xx xx, financial services"
documented_clean_final,18,insurance_corporation,insurance,"appellant, appellate tribunal, defect, tribunal, appellate, appeal, appellant rectify, recruitment placement, registrar, seafarers"
keep_short,2,insurance_corporation,insurance,"xx, xx xx, 2021, 2017, observations recommendations, 2022, 2020, ombudsman, rules 2017, insurance ombudsman"
keep_short,12,insurance_corporation,"authority, insurance","2016, irdai, regulations, insurance, regulations 2016, solvency, actuary, appointed actuary, regulatory development, insurance regulatory"
keep_short_remove_years,11,insurance_corporation,"authority, corporation","corporation, food, air india, regulation, regulations, air, civil, employee, food civil, managing director"
keep_short_remove_years,15,insurance_corporation,"authority, insurance","irdai, insurance, ombudsman, regulations, insurance ombudsman, insurance regulatory, regulatory development, solvency, actuary, appointed actuary"
baseline_remove_short,13,pension_provident_fund,insurance,"2016, irdai, regulations, regulations 2016, insurance, solvency, actuary, appointed actuary, solvency margin, regulatory development"
baseline_remove_short,14,pension_provident_fund,"employees, fund, pension","pension, pension scheme, employees, scheme, option, salary, pension regulations, average, employees pension, bank"
baseline_remove_short,19,pension_provident_fund,insurance,"ombudsman, insurance ombudsman, insurance, ombudsman rules, rules 2017, insurers, 2017, complaints, ecoi, department financial"
documented_clean_final,10,pension_provident_fund,insurance,"irdai, insurance, solvency, solvency margin, regulatory development, insurance regulatory, actuary, appointed actuary, liabilities, assets"
documented_clean_final,11,pension_provident_fund,"employees, fund, pension","pension, rbi, pension scheme, employees, scheme, cpf, option, rbi act, rbi pension, salary"
documented_clean_final,12,pension_provident_fund,employees,"recruitment, recruitment rules, probation, gsr, direct recruits, promotees, recruits, contract, group, engineers"
documented_clean_final,13,pension_provident_fund,employees,"port, surface, surface transport, transport, gsr, port trust, trust, regulation, cochin port, employees"
documented_clean_final,15,pension_provident_fund,insurance,"ombudsman, insurance ombudsman, insurance, ombudsman rules, insurers, ecoi, complaints, xx, xx xx, financial services"
documented_clean_final,18,pension_provident_fund,insurance,"appellant, appellate tribunal, defect, tribunal, appellate, appeal, appellant rectify, recruitment placement, registrar, seafarers"
keep_short,2,pension_provident_fund,insurance,"xx, xx xx, 2021, 2017, observations recommendations, 2022, 2020, ombudsman, rules 2017, insurance ombudsman"
keep_short,12,pension_provident_fund,insurance,"2016, irdai, regulations, insurance, regulations 2016, solvency, actuary, appointed actuary, regulatory development, insurance regulatory"
keep_short,14,pension_provident_fund,"employees, fund, pension","pension, rbi, pension scheme, employees, scheme, cpf, option, rbi act, rbi pension, salary"
keep_short_remove_years,4,pension_provident_fund,employees,"port, surface, surface transport, transport, gsr, regulations, port trust, trust, regulation, employees"
keep_short_remove_years,10,pension_provident_fund,"employees, fund, pension","pension, rbi, pension scheme, employees, scheme, cpf, option, rbi act, rbi pension, salary"
keep_short_remove_years,11,pension_provident_fund,employees,"corporation, food, air india, regulation, regulations, air, civil, employee, food civil, managing director"
keep_short_remove_years,15,pension_provident_fund,insurance,"irdai, insurance, ombudsman, regulations, insurance ombudsman, insurance regulatory, regulatory development, solvency, actuary, appointed actuary"
baseline_remove_short,1,tobacco_health,health,"2008, rules 2008, 2010, 2009, 2007, 2005, 2006, competition, delay, chairman"
baseline_remove_short,7,tobacco_health,"beedi, cigarette, health, tobacco","tobacco, tobacco products, cigarettes, bidi, health, warnings, products, smoking, warning, beedi"
baseline_remove_short,9,tobacco_health,medical,"medical, ayush, council, ayurveda, homeopathy, medicine, colleges, students, doctors, medical council"
documented_clean_final,5,tobacco_health,"beedi, cigarette, health, tobacco","tobacco, tobacco products, cigarettes, bidi, health, warnings, products, smoking, warning, beedi"
documented_clean_final,8,tobacco_health,medical,"medical, ayush, ayurveda, council, homeopathy, medicine, colleges, students, medical council, doctors"
keep_short,10,tobacco_health,medical,"medical, ayush, council, ayurveda, colleges, homeopathy, medicine, students, doctors, medical council"
keep_short,11,tobacco_health,"beedi, cigarette, health, tobacco","tobacco, tobacco products, cigarettes, bidi, warnings, health, products, smoking, beedi, warning"
keep_short_remove_years,5,tobacco_health,"beedi, cigarette, health, tobacco","tobacco, tobacco products, cigarettes, bidi, health, warnings, products, smoking, beedi, warning"
keep_short_remove_years,7,tobacco_health,medical,"medical, ayush, ayurveda, council, homeopathy, medicine, colleges, students, medical council, doctors"
